8738,Action,*,Main Driver,Description :P
10038,Action,*,User 10 Fault,Description :P
10048,Action,*,User 13 Fault,Description :P
10034,Action,*,User 11 Fault, Description :P
10051,Action,*,User 16 Fault,Description :P
Curtis_TP_22,5,PD_Output,Switches,Keyswitch_Voltage,empty
Curtis_TP_23,5,PWM1_Output,Switches,Main_State,empty
Curtis_TP_24,5,PWM2_Output,Switches,EMBrakeState,empty
Curtis_TP_25,5,Precharge_State,Keyswitch_Voltage,Capacitor_Voltage,empty
Curtis_TP_26,5,system_flags1,Keyswitch_Voltage,Capacitor_Voltage,empty
Curtis_TP_27,5,system_flags1,Keyswitch_Voltage,Capacitor_Voltage,empty
Curtis_TP_28,5,Current_RMS,Keyswitch_Voltage,Capacitor_Voltage,empty
Curtis_TP_29,5,Current_RMS,Keyswitch_Voltage,Capacitor_Voltage,empty
Curtis_TP_30,5,MotorTempCutback,Motor_Temperature,Controller_Temperature,empty
Curtis_TP_31,5,empty,empty,empty,empty
Curtis_TP_32,5,empty,empty,empty,empty
Curtis_TP_33,5,External_Supply_Max,Keyswitch_Voltage,Capacitor_Voltage,empty
Curtis_TP_34,5,Analog2_Input,Analog2_Filtered,Motor_Temperature,empty
Curtis_TP_35,5,Last_VCL_Error_Module,Last_VCL_Error,empty,empty
Curtis_TP_36,5,Five_Volts_Output,External_Load_Current,Keyswitch_Voltage,empty
Curtis_TP_37,5,os_ver,build_number,article_number,empty
Curtis_TP_38,5,empty,empty,empty,empty
Curtis_TP_39,5,Encoder_Steps,MotorSpeedA,MotorSpeedB,empty
Curtis_TP_40,5,Encoder_Steps,MotorSpeedA,MotorSpeedB,empty
Curtis_TP_41,5,empty,empty,empty,empty
Curtis_TP_42,5,Switches,empty,empty,empty
Curtis_TP_43,5,Switches,empty,empty,empty
Curtis_TP_44,5,Switches,empty,empty,empty
Curtis_TP_45,5,IM_Motor_Type,empty,empty,empty
Curtis_TP_46,5,Status_3_Supervisor,analog_that_failed,switch_that_failed,empty
Curtis_TP_47,5,Motor_Characterization_Error,empty,empty,empty
Curtis_TP_48,5,empty,empty,empty,empty
Curtis_TP_49,5,empty,empty,empty,empty
Curtis_TP_50,5,os_ver,build_number,article_number,empty
Curtis_TP_51,5,PWM2_Output,empty,empty,empty
Curtis_TP_52,5,Encoder_Steps,MotorSpeedA,MotorSpeedB,empty
Curtis_TP_53,5,Switches,empty,empty,empty
Curtis_TP_54,5,Dual_Slave_Throttle_from_Master,Dual_Slave_Brake_from_Master,empty,empty
Curtis_TP_55,5,empty,empty,empty,empty
Curtis_TP_56,5,hardware_ver,model_number_low,model_number_high,empty
Curtis_TP_57,5,Current_RMS,empty,empty,empty
Curtis_TP_58,5,Soc,empty,empty,empty
Curtis_TP_59,5,Switches,empty,empty,empty
Curtis_TP_60,5,Parameter_Mismatch_Error,empty,empty,empty
Curtis_TP_61,5,External_Supply_Min,Keyswitch_Voltage,Capacitor_Voltage,empty
Curtis_TP_62,5,External_Supply_Max,Keyswitch_Voltage,Capacitor_Voltage,empty
Curtis_TP_63,5,empty,empty,empty,empty
Curtis_TP_64,5,Encoder_Steps,MotorSpeedA,MotorSpeedB,empty
Curtis_TP_65,5,empty,empty,empty,empty
Curtis_TP_66,5,empty,empty,empty,empty
Curtis_TP_67,5,Current_RMS,empty,empty,empty
Curtis_TP_68,5,empty,empty,empty,empty
Curtis_TP_69,5,empty,empty,empty,empty
Curtis_TP_70,5,empty,empty,empty,empty
Curtis_TP_71,5,empty,empty,empty,empty
Curtis_TP_72,5,empty,empty,empty,empty
Curtis_TP_73,5,empty,empty,empty,empty
Curtis_TP_74,5,empty,empty,empty,empty
Curtis_TP_75,5,empty,empty,empty,empty
Curtis_TP_76,5,empty,empty,empty,empty
Curtis_TP_77,5,empty,empty,empty,empty
Curtis_TP_78,5,empty,empty,empty,empty
Curtis_TP_79,5,empty,empty,empty,empty
Curtis_TP_80,5,empty,empty,empty,empty
Curtis_TP_81,5,empty,empty,empty,empty
Curtis_TP_82,5,empty,empty,empty,empty
Curtis_TP_83,5,empty,empty,empty,empty
Curtis_TP_84,5,empty,empty,empty,empty
Curtis_TP_85,5,empty,empty,empty,empty
Curtis_TP_86,5,empty,empty,empty,empty
Curtis_TP_87,5,empty,empty,empty,empty
Curtis_TP_88,5,empty,empty,empty,empty
Curtis_S_1,5,empty,empty,empty,empty
Curtis_S_2,5,empty,empty,empty,empty
Curtis_S_3,5,empty,empty,empty,empty
Curtis_S_4,5,empty,empty,empty,empty
Curtis_S_5,5,empty,empty,empty,empty
Curtis_S_6,5,empty,empty,empty,empty
Curtis_S_7,5,empty,empty,empty,empty
Curtis_S_8,5,empty,empty,empty,empty
Curtis_S_9,5,empty,empty,empty,empty
Curtis_S_10,5,empty,empty,empty,empty
Curtis_S_11,5,empty,empty,empty,empty
Curtis_S_12,5,empty,empty,empty,empty
Curtis_S_13,5,empty,empty,empty,empty
Curtis_S_14,5,empty,empty,empty,empty
Curtis_S_15,5,empty,empty,empty,empty
Curtis_S_16,5,empty,empty,empty,empty
Curtis_S_17,5,empty,empty,empty,empty
Curtis_S_18,5,empty,empty,empty,empty
Curtis_S_19,5,empty,empty,empty,empty
Curtis_S_20,5,empty,empty,empty,empty
Curtis_S_21,5,empty,empty,empty,empty
Curtis_S_22,5,empty,empty,empty,empty
Curtis_S_23,5,empty,empty,empty,empty
Curtis_S_24,5,empty,empty,empty,empty
Curtis_S_25,5,empty,empty,empty,empty
Curtis_S_26,5,empty,empty,empty,empty
Curtis_S_27,5,empty,empty,empty,empty
Curtis_S_28,5,empty,empty,empty,empty
Curtis_S_29,5,empty,empty,empty,empty
Curtis_S_30,5,empty,empty,empty,empty
Curtis_S_31,5,empty,empty,empty,empty
Curtis_S_32,5,empty,empty,empty,empty
Curtis_S_33,5,empty,empty,empty,empty
Curtis_S_34,5,empty,empty,empty,empty
Curtis_S_35,5,empty,empty,empty,empty
Curtis_S_36,5,empty,empty,empty,empty
Curtis_S_37,5,empty,empty,empty,empty
Curtis_S_38,5,empty,empty,empty,empty
Curtis_S_39,5,empty,empty,empty,empty
Curtis_S_40,5,empty,empty,empty,empty
Curtis_S_41,5,empty,empty,empty,empty
Curtis_S_42,5,empty,empty,empty,empty
Curtis_S_43,5,empty,empty,empty,empty
Curtis_S_44,5,empty,empty,empty,empty
Curtis_S_45,5,empty,empty,empty,empty
Curtis_S_46,5,empty,empty,empty,empty
Curtis_S_47,5,empty,empty,empty,empty
Curtis_S_48,5,empty,empty,empty,empty
Curtis_S_49,5,empty,empty,empty,empty
Curtis_S_50,5,empty,empty,empty,empty
Curtis_S_51,5,empty,empty,empty,empty
Curtis_S_52,5,empty,empty,empty,empty
Curtis_S_53,5,empty,empty,empty,empty
Curtis_S_54,5,empty,empty,empty,empty
Curtis_S_55,5,empty,empty,empty,empty
Curtis_S_56,5,empty,empty,empty,empty
Curtis_S_57,5,empty,empty,empty,empty
Curtis_S_58,5,empty,empty,empty,empty
Curtis_S_59,5,empty,empty,empty,empty
Curtis_S_60,5,empty,empty,empty,empty
Curtis_S_61,5,empty,empty,empty,empty
Curtis_S_62,5,empty,empty,empty,empty
Curtis_S_63,5,empty,empty,empty,empty
Curtis_S_64,5,empty,empty,empty,empty
